Accelerating Voltage (multimeter) [V],Accelerating Voltage (kV),Lens Voltage (multimeter) [V],Lens Voltage (kV),Measured grid spacing (pixels),Measured pixel/in scale,Measured grid spacing (in)
1.5,7500,1.3,6500,50,1517.333333,0.032952548
1.5,7500,1.2,6000,47,1517.333333,0.030975395
1.5,7500,1.25,6250,48.5,1517.333333,0.031963972
1.5,7500,1.15,5750,51.5,1517.333333,0.033941125
1.5,7500,1.1,5500,52.7,1517.333333,0.034731986
1.5,7500,1.05,5250,58.8,1517.333333,0.038752197
1.5,7500,1,5000,61.27,1517.333333,0.040380053
1.5,7500,0.95,4750,63.5,1517.333333,0.041849736
1.5,7500,0.9,4500,70,1517.333333,0.046133568
1.5,7500,0.85,4250,73.3,1517.333333,0.048308436
1.5,7500,0.8,4000,75,1517.333333,0.049428822
1.5,7500,0.75,3750,86,1517.333333,0.056678383
